Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0656386712520219,-0.0432467828307973,0.0100521759712125,0,0,0,0.259120162249515,0.000288711035480735,-5.42298696694902E-07,-1.033172642498E-05,0.00040872876302531,3.84708184328528E-06,0.00015929450417956,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/base_link.STL,,Hand 2-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb1_Link,0.00512390130538683,0.0149785760029524,-0.000898769028056828,0,0,0,0.00782969555542092,6.23290345863103E-07,-2.27653828063278E-11,-6.40433079706808E-12,3.8516036552849E-07,-7.78149137213318E-09,7.69498615659275E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/thumb1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/thumb1_Link.STL,,Thumb part 1-1,Origin_thumb_j1,Axis_thumb_j1,thumb_j1,revolute,0.0240518483089937,-0.0462528306122306,-0.0172471775497014,1.33873613613483,-0.948932451668994,-0.000258786914443362,base_link,1,0,0,5,0.2,-1.164,0.4068,,,,,,,,
thumb2_Link,0.00512389905179179,0.0163538150272155,-0.000369459809588565,0,0,0,0.00610021895486931,5.65725285566143E-07,2.64269415324105E-12,6.00375420712271E-12,2.16034510916205E-07,-2.18166882934033E-08,6.72756524738135E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/thumb2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/thumb2_Link.STL,,Thumb part 2-1,Origin_thumb_j2,Axis_thumb_j2,thumb_j2,revolute,0,0.031,0,0.318147664815992,0,0,thumb1_Link,1,0,0,4,0.2,-1.2876,0.28324,,,,,,,,
r11_Link,0.0106126461268541,0.0138574623397819,-0.000692499995342252,0,0,0,0.00505163456925077,3.45504087921045E-07,-1.7648803979526E-11,1.15021663613417E-11,1.6934687929108E-07,-4.26690958776279E-09,4.09666083226781E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r11_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r11_Link.STL,,index and ring finger 1-1,Origin_r1_j1,Axis_r1_j1,r1_j1,revolute,0.021540766547458,-0.0462886971045631,0.0651169842968732,1.65806278939658,0,0,base_link,1,0,0,4,0.2,0,1.4835,,,,,,,,
r12_Link,0.00948526334559017,0.011319051574415,-0.000637443423010794,0,0,0,0.00316423445901308,1.52922072642436E-07,-2.95022509642198E-12,-3.98120081602575E-12,8.21074183350032E-08,-2.05574054430349E-09,1.87613484946731E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r12_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r12_Link.STL,,index and ring finger part 2-1,Origin_r1_j2,Axis_r1_j2,r1_j2,revolute,0.00112607587808405,0.029,0,0.0349065850414309,0,0,r11_Link,1,0,0,5,0.2,0,1.5708,,,,,,,,
r13_Link,0.0083883098520136,0.0138316339526323,-0.000305335243949517,0,0,0,0.00295264403592367,2.10142945758861E-07,-3.99673727223903E-13,-7.77469702902124E-13,5.61707534590071E-08,-6.02567806578341E-09,2.35429968122707E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r13_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r13_Link.STL,,Index and ring finger part 3-1,Origin_r1_j3,Axis_r1_j3,r1_j3,revolute,0.0010967437272964,0.024,0,0.034906585038563,0,0,r12_Link,1,0,0,4,0.2,-1.0472,0,,,,,,,,
middle1_Link,0.0109180043393285,0.0148232616995928,-0.000651883383610372,0,0,0,0.00545833962203947,4.20728383042533E-07,-1.09435181644222E-11,-1.02902378312803E-12,1.83607706583251E-07,-4.83669878207309E-09,4.89363446589277E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/middle1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/middle1_Link.STL,,middle part 1-1,Origin_middle_j1,Axis_middle_j1,middle_j1,revolute,0.0440176635890045,-0.0460986682470855,0.066692131425617,1.59876267557947,0.0174497310570342,-0.0202042158612193,base_link,1,0,0,4,0.2,-0.034784,1.536,,,,,,,,
middle2_Link,0.00975020937049818,0.0122814878785258,-0.000595623262741193,0,0,0,0.00347421007174819,1.92893028184273E-07,-2.88853610777076E-12,-3.35455479364462E-12,9.05970098325026E-08,-2.41855667765878E-09,2.3068124017024E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/middle2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/middle2_Link.STL,,middle part 2-1,Origin_middle_j2,Axis_middle_j2,middle_j2,revolute,0.00116795153597407,0.031,0,0.0349065850383234,0,0,middle1_Link,1,0,0,4,0.2,-1.5708,0,,,,,,,,
middle3_Link,0.00861075553653146,0.0147804782644377,-0.000296908093710115,0,0,0,0.00317733360346207,2.55769356163239E-07,1.11906784018037E-12,9.69949322385877E-14,6.08014811267132E-08,-6.57411733131653E-09,2.83052492523849E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/middle3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/middle3_Link.STL,,middle part 3-1,Origin_middle_j3,Axis_middle_j3,middle_j3,revolute,0.00113938236336966,0.0260000000000002,0,0.104719755119606,0,0,middle2_Link,1,0,0,4,0.2,-0.99484,0,,,,,,,,
r21_Link,0.0112017617861178,0.0138574615965664,-0.000692455340707394,0,0,0,0.00505162053540393,3.45503717620925E-07,-1.75283568065723E-11,1.02027944508691E-11,1.6934653608407E-07,-4.26735340598669E-09,4.09663829555223E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r21_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r21_Link.STL,,index and ring finger 1-2,Origin_r2_j1,Axis_r2_j1,r2_j1,revolute,0.0669125531917285,-0.0465454519734037,0.0663061932721765,1.59891291317393,-0.0174497310570365,0.02020421586122,base_link,1,0,0,4,0.2,-1.5708,0,,,,,,,,
r22_Link,0.00998652762818737,0.0113190599232044,-0.000637422699429603,0,0,0,0.00316424983547656,1.52922210556909E-07,-2.82714325934718E-12,-4.36721266205461E-12,8.21081713555794E-08,-2.05574740931456E-09,1.87614766096003E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r22_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r22_Link.STL,,index and ring finger part 2-2,Origin_r2_j2,Axis_r2_j2,r2_j2,revolute,0.00121393188528138,0.0289999999999993,0,0.0086607304006959,0,0,r21_Link,1,0,0,4,0.2,-0.043567,1.5621,,,,,,,,
r23_Link,0.00893033084632912,0.0138316331340014,-0.000305281262344845,0,0,0,0.00295275229934227,2.10143973929486E-07,-7.23031705140317E-13,-2.17508601173165E-12,5.61754366145757E-08,-6.02579151232286E-09,2.35436656971005E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r23_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/r23_Link.STL,,Index and ring finger part 3-2,Origin_r2_j3,Axis_r2_j3,r2_j3,revolute,0.00105627715725304,0.024,0,0.0349065850398856,0,0,r22_Link,1,0,0,4,0.2,-1.5708,0,,,,,,,,
pinky1_Link,0.0100814045770639,0.0132424873934518,-0.000560391542164668,0,0,0,0.00378439613099857,2.39762405025283E-07,-3.00053564557227E-12,-4.98740081394117E-12,9.90876367051699E-08,-2.78446123969546E-09,2.80666197332003E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/pinky1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/pinky1_Link.STL,,Pinky part 1-1,Origin_pinky_j1,Axis_pinky_j1,pinky_j1,revolute,0.0909862690963969,-0.0460068210277935,0.0617178593201947,1.5602882514778,-0.0174511735876714,0.015584157838284,base_link,1,0,0,4,0.2,-1.5522,0.018643,,,,,,,,
pinky2_Link,0.00888126411418376,0.010663021989836,-0.000488394100891118,0,0,0,0.00226842276697224,1.0144868442032E-07,-5.5733944423488E-13,-6.39143230088185E-13,4.45533391970744E-08,-1.19705101290774E-09,1.22087606613138E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/pinky2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/pinky2_Link.STL,,pinky part 2-1,Origin_pinky_j2,Axis_pinky_j2,pinky_j2,revolute,0.00120000271622225,0.028,0,0.0349065850403582,0,0,pinky1_Link,1,0,0,4,0.2,-1.5708,0,,,,,,,,
pinky3_Link,0.00795294187668354,0.0125582589042525,-0.000236691271445121,0,0,0,0.00194016989437313,1.23532246699094E-07,1.11497589612462E-12,3.40673667833946E-12,2.70942905057707E-08,-2.28860084336207E-09,1.37453558046944E-07,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/pinky3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/pinky3_Link.STL,,pinky part 3-1,Origin_pinky_j3,Axis_pinky_j3,pinky_j3,revolute,0.00092831414823398,0.023,0,0.03490658503964,0,0,pinky2_Link,1,0,0,4,0.2,-1.0472,0,,,,,,,,
